Accession,Signal_Peptide,Subcellular_Location
Q91V10,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17919464}.
P35918,"SIGNAL 1..19;  /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cell junction {ECO:0000269|PubMed:15673613, ECO:0000269|PubMed:19635461, ECO:0000269|PubMed:19668192}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P35968}. Cell membrane {ECO:0000250|UniProtKB:P35968}. Note=Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (By similarity). Localized with RAP1A at cell-cell junctions. {ECO:0000250|UniProtKB:P35968}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Early endosome {ECO:0000250}. Note=Detected on caveolae-enriched lipid rafts at the cell surface. Is recycled from the plasma membrane to endosomes and back again. Phosphorylation triggered by VEGFA binding promotes internalization and subsequent degradation. VEGFA binding triggers internalization and translocation to the nucleus (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted."
Q3UZD5,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16537907, ECO:0000269|PubMed:17662997, ECO:0000269|PubMed:27181681}."
Q9JMB1,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11173852, ECO:0000269|PubMed:12748127}. Note=Localized predominantly in the nucleus of haploid round spermatid."
Q9D030,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:11809751}. Cytoplasm {ECO:0000269|PubMed:11809751}. Note=Mainly nuclear during embryonic development. Cytoplasmic in adult tissues."
Q9ESC7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11473580}.
Q6NZN1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11340167}. Note=Colocalizes with NRF1.
Q99PV0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q6P2Q9}. Nucleus speckle {ECO:0000269|PubMed:15169873}.
Q60707,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26486273, ECO:0000269|PubMed:33731112}."
Q8C2S0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21853124}. Note=Peaks in interphase, with relatively low levels maintained throughout mitosis."
P15806,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12200424}.
Q8BGW8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12376544}.
E9QAU8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23610558}.
O35144,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00625, ECO:0000269|PubMed:20339076}. Chromosome, telomere {ECO:0000269|PubMed:20339076}. Note=Colocalizes with telomeric DNA in interphase cells and is located at chromosome ends during metaphase."
Q60673,"SIGNAL 1..37;  /evidence=""ECO:0000250""","SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q63259}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63259}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:19361477}; Single-pass type I membrane protein {ECO:0000305}. Perikaryon {ECO:0000250|UniProtKB:Q63259}. Cell projection, axon {ECO:0000250|UniProtKB:Q63259}. Cell junction, synapse {ECO:0000250|UniProtKB:Q63259}. Cell membrane {ECO:0000250|UniProtKB:Q63259}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q63259}. Endosome {ECO:0000250|UniProtKB:Q63259}. Note=Detected on neuronal secretory vesicles, but not on synaptic vesicles. Colocalizes with insulin-containing secretory granules. Primarily detected on secretory vesicle membranes. Transiently found at the cell membrane, when secretory vesicles fuse with the cell membrane to release their cargo. Is then endocytosed and recycled to secretory vesicles via the Golgi apparatus membranes. {ECO:0000250|UniProtKB:Q63259}.; SUBCELLULAR LOCATION: [ICA512-transmembrane fragment]: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:Q63259}.; SUBCELLULAR LOCATION: [ICA512-cleaved cytosolic fragment]: Nucleus {ECO:0000250|UniProtKB:Q16849}."
P97343,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12093740}. Note=Mostly nuclear.
P63166,,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:P63165}. Nucleus speckle {ECO:0000269|PubMed:18681895}. Cytoplasm {ECO:0000250|UniProtKB:P63165}. Nucleus, PML body {ECO:0000250|UniProtKB:P63165}. Cell membrane {ECO:0000250|UniProtKB:P63165}. Nucleus {ECO:0000250|UniProtKB:P63165}. Note=Recruited by BCL11A into the nuclear body (PubMed:18681895). In the presence of ZFHX3, sequesterd to nuclear body (NB)-like dots in the nucleus some of which overlap or closely associate with PML body (By similarity). {ECO:0000250|UniProtKB:P63165, ECO:0000269|PubMed:18681895}."
Q9Z172,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Nucleus, PML body {ECO:0000269|PubMed:18644859}."
Q9EPQ8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:7760812}.
Q6R3M4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Binding to ubiquitin mediates localization to replication forks after UV-induced DNA damage. {ECO:0000269|PubMed:16357261}.
Q9EST4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12147697}.
P25976,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:20168301}."
Q1WG82,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16982049}.
Q61467,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15465018}.
P21952,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1979677}.
F6ZDS4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P12270}. Nucleus membrane {ECO:0000250|UniProtKB:P12270}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12270}; Nucleoplasmic side {ECO:0000250|UniProtKB:P12270}. Nucleus envelope {ECO:0000269|PubMed:12424524, ECO:0000269|PubMed:12513910}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P12270, ECO:0000269|PubMed:12513910}. Cytoplasm {ECO:0000250|UniProtKB:P12270}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P12270}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P12270}. Nucleus membrane {ECO:0000250|UniProtKB:P12270}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12270}; Cytoplasmic side {ECO:0000250|UniProtKB:P12270}. Note=Detected as discrete intranuclear foci with IFI204 (By similarity). In interphase, localizes to the nucleoplasmic side of the nuclear pore complex (NPC) core structure, forming a fibrous structure called the nuclear basket. Detected exclusively to the cytoplasmic margin of NPC (By similarity). Docking to the inner nucleoplasmic side of the NPC is mediated through binding to nucleoporins. Anchored by NUP153 to the NPC. The assembly of the NPC is a stepwise process in which Trp-containing peripheral structures assemble after other components, including p62. Detected as filaments that emanate from the nuclear basket of the NPC and extend to the nucleolus to delineate a chromatin-free network extending from the nuclear envelope to the perinucleolar region. Detected in diffuse and discrete spheroidal intranuclear foci. Nucleocytoplasmic shuttling protein imported into the nucleus in a XPO1/CRM1- and Importin alpha/Importin beta receptor-dependent manner. Remains localized to the nuclear membrane after poliovirus (PV) infection. During mitosis, remains associated with the nuclear envelope until prometaphase. Associated with the mitotic spindle from late prometaphase until anaphase. Reorganized during mitosis in a viscous and dynamic nuclear-derived spindle matrix that embeds the microtubule spindle apparatus from pole to pole in a microtubule-independent manner. Recruited to the reforming nuclear envelope during telophase and cytokinesis. Detected at kinetochores during prometaphase. Colocalizes with MAD2L1 in the spindle matrix but not at kinetochore. Colocalizes with dynein, dynactin, tubulin at kinetochore during the metaphase-anaphase transition. Colocalizes with DYNLL1 at the mitotic spindle (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P12270}."
Q9Z2D6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15034150, ECO:0000269|PubMed:17296936}. Note=Colocalized with methyl-CpG in the genome. Colocalized with TBL1X to the heterochromatin foci. {ECO:0000250|UniProtKB:P51608}."
O88291,,"SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:10798446, ECO:0000269|PubMed:9809746}."
E9PYI1,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22110054, ECO:0000269|PubMed:23071813}."
B2RRE4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25680957}.
Q64318,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20346398}.
Q9JMD0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9832628}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:O43670}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:O43670}. Note=Localizes primarily to the nucleus in interphase, concentrates at kinetochores prior to nuclear envelope breakdown and during early prometaphase, and disappears from kinetochores upon microtubule-binding. {ECO:0000250|UniProtKB:O43670}."
P70279,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:8639267, ECO:0000269|PubMed:9548374}. Note=Granular component of the nucleolus."
Q4G0F8,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250}. Nucleus, PML body {ECO:0000250}. Cell junction, tight junction {ECO:0000269|PubMed:18823282}. Note=Localized as a nuclear speckled-like pattern in proliferating primary fibroblasts. Colocalizes with HIRA, PML and SP100 in PML bodies of senescent cells. Colocalizes with CLDN1. Detected along the upper granular cell layer of epidermis. When overexpressed, accumulates in the nucleus in cells showing defective cytokinesis (By similarity). Colocalizes with TJP1. {ECO:0000250}."
Q8JZL0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12426389}.
Q9QXE7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Colocalized with MECP2 to the heterochromatin foci. {ECO:0000269|PubMed:28348241}.
A2A5K6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23178126}.
Q3TZX8,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q5SY16}. Nucleus {ECO:0000269|PubMed:22872859}. Note=Colocalizes with pre-60S rRNP particles. {ECO:0000250}."
Q9D198,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12437976}.
Q64321,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22730529, ECO:0000269|PubMed:29420538}."
Q6IQX8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20940257}.
Q8CF60,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26089202}.
Q7TSH3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25578880}.
Q6KAS7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12393497}.
Q8BZ47,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28041881}.
Q5IRJ6,,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Nucleus {ECO:0000269|PubMed:11906820}. Cytoplasm {ECO:0000250|UniProtKB:Q6PML9}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q6PML9}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q6PML9}. Note=Mainly in the cytoplasm. Partial co-localization with endoplasmic reticulum. {ECO:0000250|UniProtKB:Q6PML9}.
Q5DU02,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27013495}.
Q8R0A6,"SIGNAL 1..24;  /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28052263}. Note=Secreted by adipose precursor cells (PubMed:28052263). Not detected in the nucleus (By similarity). {ECO:0000250|UniProtKB:Q8TAG5, ECO:0000269|PubMed:28052263}."
Q9JLM4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10662551}.
Q8K3G5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14645249}.
E9Q5K9,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29799838}. Nucleus speckle {ECO:0000250|UniProtKB:Q96MU7}. Note=Localizes to a novel subnuclear structure, the YT bodies. {ECO:0000250|UniProtKB:Q9QY02}."
Q2MHN3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29253101}.
Q8CFN5,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11554755}. Cytoplasm, sarcoplasm {ECO:0000250|UniProtKB:A0A096MJY4}."
Q91WE2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26497270}.
Q5SSF7,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5VWP2}. Cytoplasm {ECO:0000269|PubMed:28931820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5VWP2}. Note=Recruited into the centrosome through its interaction with PLK4. {ECO:0000250|UniProtKB:Q5VWP2}."
Q80ZI1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23622239}.
Q5SZT7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25875095}.
O88898,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14729569}.
Q9QUR7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29686383}. Nucleus speckle {ECO:0000250|UniProtKB:Q13526}. Cytoplasm {ECO:0000250|UniProtKB:Q13526}. Note=Colocalizes with NEK6 in the nucleus. Mainly localized in the nucleus but phosphorylation at Ser-73 by DAPK1 results in inhibition of its nuclear localization. {ECO:0000250|UniProtKB:Q13526}.
P40630,,"SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion {ECO:0000250|UniProtKB:Q00059}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000250|UniProtKB:Q00059}.; SUBCELLULAR LOCATION: [Isoform Nuclear]: Nucleus {ECO:0000269|PubMed:8673128}."
Q61412,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8630490}.
Q8R3L2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12107429, ECO:0000269|PubMed:18068114}. Note=Some staining in the cytosol; cytosolic localization is reduced in staurosporine-induced cell death."
Q9R1X4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10231394, ECO:0000269|PubMed:10428031, ECO:0000269|PubMed:23418588, ECO:0000269|PubMed:24489120}. Chromosome {ECO:0000250|UniProtKB:Q9UNS1}. Note=In response to double-strand breaks (DSBs), accumulates at DNA damage sites via its interaction with PARP1. {ECO:0000250|UniProtKB:Q9UNS1}."
Q5NCC3,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:33640899}. Nucleus {ECO:0000250|UniProtKB:Q8WV44}.
Q3TA38,,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:26024229}; Multi-pass membrane protein {ECO:0000255}.
Q3UNW5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28577314}.
Q91YJ3,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14580360, ECO:0000269|PubMed:14601557}."
Q9JMA2,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03218, ECO:0000269|PubMed:19414587}. Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03218, ECO:0000269|PubMed:19414587}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03218, ECO:0000305|PubMed:19414587}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03218, ECO:0000269|PubMed:19414587}. Nucleus {ECO:0000269|PubMed:19414587}. Note=Weakly associates with mitochondria, possibly via QTRT2. {ECO:0000255|HAMAP-Rule:MF_03218, ECO:0000269|PubMed:19414587}."
Q60949,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7566974}.
Q6PFR5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28785060}.
Q9QZE7,,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus {ECO:0000269|PubMed:15314092}. Nucleus {ECO:0000250}. Note=Expressed in the cytoplasm in the presence of TSN (By similarity). Accumulate in the Golgi complex of mid-late pachytene spermatocytes. {ECO:0000250}."
Q80X41,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14645249, ECO:0000269|PubMed:9521809}. Cytoplasm {ECO:0000250|UniProtKB:Q99986}. Note=Dispersed throughout the cell but not located on mitotic spindle or chromatids during mitosis."
Q8VCG3,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q6RFH5}. Nucleus {ECO:0000269|PubMed:21799883}. Note=Nucleolar location depends on active PolI transcription of pre-rRNA. {ECO:0000250|UniProtKB:Q6RFH5}."
B1AWL2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17353115, ECO:0000269|PubMed:20219459, ECO:0000269|PubMed:21570965}."
P46062,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7799964}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q96FS4}. Endomembrane system; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96FS4}. Note=Mostly localized in the perinuclear membraneous region. {ECO:0000250|UniProtKB:Q96FS4}."
Q14BK3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17077512}.
Q99LW6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14557078}.
Q9Z0U1,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Nucleus {ECO:0000250}. Cell junction, tight junction {ECO:0000269|PubMed:26609154}. Note=Also nuclear under environmental stress conditions and in migratory endothelial cells and subconfluent epithelial cell cultures. {ECO:0000250}."
Q07231,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1397691}.
Q80VJ6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:20336070}. Chromosome, telomere {ECO:0000269|PubMed:20336070}."
Q5HZG9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16908628}.
Q8K083,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19398580}.
Q6NS86,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16522745}.
Q8CJ78,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15556296}.
Q99KE8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18430783}.
Q9R0I7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus speckle {ECO:0000269|PubMed:10716735}. Note=Migrates to nucleolar caps upon blockage of transcription. {ECO:0000250}.
A6X8Z9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19821082}.
Q923W1,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96RS0}. Nucleus, Cajal body {ECO:0000269|PubMed:11517327}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q96RS0}."
Q8C6P8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15070898, ECO:0000269|PubMed:18854139, ECO:0000269|PubMed:8120052}. Note=Binds various differentially methylated regions (DMR), including the Snrpn DMR."
E9QAG8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21177534}.
O88286,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16702210}.
Q9JKB3,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10772793}. Nucleus {ECO:0000250}.
Q9DAG4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17091336}. Cytoplasm {ECO:0000250|UniProtKB:Q96LM6}. Note=Present in the germ cell lineage at all stages. {ECO:0000250|UniProtKB:Q96LM6}.
P23798,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:2246278}.
Q5XJY4,,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16839884}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9H300}.; SUBCELLULAR LOCATION: [P-beta]: Nucleus {ECO:0000250|UniProtKB:Q9H300}. Note=Translocated into the nucleus by an unknown mechanism (By similarity). {ECO:0000250|UniProtKB:Q9H300}.
Q8BGV5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12370310}.
Q02526,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1397691}.
P14404,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:2106070}. Nucleus speckle {ECO:0000250|UniProtKB:Q03112}. Cytoplasm {ECO:0000250|UniProtKB:Q03112}.
P63085,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm. Membrane, caveola {ECO:0000250|UniProtKB:P63086}. Cell junction, focal adhesion {ECO:0000269|PubMed:15923189}. Note=Associated with the spindle during prometaphase and metaphase (By similarity). PEA15-binding and phosphorylated DAPK1 promote its cytoplasmic retention. Phosphorylation at Ser-244 and Ser-246 as well as autophosphorylation at Thr-188 promote nuclear localization (By similarity). Localization to focal adhesions is stimulated by EGF (PubMed:15923189). {ECO:0000250, ECO:0000269|PubMed:15923189}."
Q7TNB4,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12889070}."
Q3UYV9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22767893}. Cytoplasm {ECO:0000250|UniProtKB:Q09161}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250|UniProtKB:Q09161}.
Q91W39,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24268775}.
Q80W85,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12714744}. Note=Found in the oocyte nucleus before nuclear membrane breakdown, after which it is redistributed to the cytoplasm."
Q99L02,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26744420}.
Q99N57,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Mitochondrion {ECO:0000250}. Nucleus {ECO:0000269|PubMed:19298812}. Note=Colocalizes with RGS14 and BRAF in both the cytoplasm and membranes. Phosphorylation at Ser-259 impairs its membrane accumulation. Recruited to the cell membrane by the active Ras protein. Phosphorylation at Ser-338 and Ser-339 by PAK1 is required for its mitochondrial localization (By similarity). Retinoic acid-induced Ser-621 phosphorylated form of RAF1 is predominantly localized at the nucleus. {ECO:0000250}.
Q0VBL3,,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q96T37}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17283045}. Nucleus envelope {ECO:0000250|UniProtKB:Q96T37}. Nucleus membrane {ECO:0000250|UniProtKB:Q96T37}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96T37}. Note=Colocalizes at the nuclear pore with DBP5 and NXF1. {ECO:0000250|UniProtKB:Q96T37}."
Q3UQS8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22466703}.
D3Z4I3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q6GQD3}. Cytoplasm {ECO:0000269|PubMed:25217815}.
Q64012,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27251289}.
Q08297,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q06609}. Cytoplasm {ECO:0000250|UniProtKB:Q06609}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q06609}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q06609}. Chromosome {ECO:0000269|PubMed:30272023, ECO:0000269|PubMed:30746471, ECO:0000269|PubMed:30760716, ECO:0000269|PubMed:30949703, ECO:0000269|PubMed:32463460}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q06609}. Note=Colocalizes with RAD51AP1 and RPA2 to multiple nuclear foci upon induction of DNA damage. DNA damage induces an increase in nuclear levels. Together with FIGNL1, redistributed in discrete nuclear DNA damage-induced foci after ionizing radiation (IR) or camptothecin (CPT) treatment. Accumulated at sites of DNA damage in a SPIDR-dependent manner. Recruited at sites of DNA damage in a MCM9-MCM8-dependent manner. Colocalizes with ERCC5/XPG to nuclear foci in S phase (By similarity). {ECO:0000250|UniProtKB:Q06609}."
Q924W9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1703797}.
O55230,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome, telomere {ECO:0000269|PubMed:15109494}."
O88907,,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}. Nucleus, PML body {ECO:0000269|PubMed:12077349, ECO:0000269|PubMed:22406621}. Note=Interaction with CSRP2 may induce a partial redistribution along the cytoskeleton. {ECO:0000250}."
Q9JM05,,"SUBCELLULAR LOCATION: Nucleus, PML body {ECO:0000269|PubMed:11731474, ECO:0000269|PubMed:16816390}. Note=Colocalizes with SUMO1 and TCF7L2/TCF4 and LEF1 in a subset of PML (promyelocytic leukemia) nuclear bodies. Accumulates in the cytoplasm upon treatment with UVB and TNF-alpha. {ECO:0000250|UniProtKB:Q8N2W9}."
Q8C8B0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12929931}.
Q9ESC8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22195968}. Note=Associates to transcriptionally active chromatin but not at snRNA genes.
Q8K2K6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P52594}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P52594}. Note=Associated with the cytosolic surface of proacrosomic vesicles of early round spermatids. {ECO:0000269|PubMed:11711676}.
Q8VE42,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26043108}.
Q3TMQ6,"SIGNAL 1..24;  /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000269|PubMed:12548285}. Secreted {ECO:0000250|UniProtKB:P10152}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P03950}. Note=Exposure to bacterial lipopolysaccharide (LPS) triggers secretion from intestinal epithelium cells (PubMed:12548285). Rapidly endocytosed by target cells and translocated to the nucleus where it accumulates in the nucleolus and binds to DNA (By similarity). {ECO:0000250|UniProtKB:P03950, ECO:0000269|PubMed:12548285}."
Q9Z1S0,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12925705, ECO:0000269|PubMed:17925231}. Note=Cytoplasmic in interphase cells (By similarity). Associates with the kinetochores in early prophase. Kinetochore localization requires BUB1, PLK1 and KNL1 (By similarity). {ECO:0000250}."
